original order,Case Number,Year,Type,Country,Area,Activity,Sex ,Injury,Fatal (Y/N),Time
4623.0,2004.04.07,2004.0,Unprovoked,USA,Hawaii,Surfing,M,FATAL Severe wound to right thigh & calf,Y,07:08
4622.0,2004.04.05,2004.0,Unprovoked,SOUTH AFRICA,Western Cape Province,Surfing,M,"Left leg lacerated, right leg severed above the knee ",N,14:00
4621.0,2004.04.04,2004.0,Invalid,USA,Hawaii,Surfing,F,"Disappeared, surfboard washed ashore, marks on leash suggested shark involvement ",Unknown,14:00
4620.0,2004.03.31,2004.0,Unprovoked,USA,Florida,Unknown,M,Right foot bitten,N,14:00
4619.0,2004.03.31,2004.0,Unprovoked,USA,Florida,Surfing,M,15 puncture wounds on foot,N,09:00
4618.0,2004.03.29,2004.0,Unprovoked,BRAZIL,Pernambuco,Surfing,M,"Lower left leg bitten, surgically amputated",N,07:30
4617.0,2004.03.28,2004.0,Unprovoked,USA,Florida,Surfing,M,Heel bitten,N,15:00
4616.0,2004.03.27,2004.0,Unprovoked,REUNION,Saint-Benoît,Surfing,M,Right thigh bitten,N,17:00
4615.0,2004.03.27,2004.0,Unprovoked,USA,Florida,Swimming,M,Minor lacerations & abrasions on forearm,N,08:30
4614.0,2004.03.24,2004.0,Unprovoked,USA,Hawaii,Snorkeling,F,Lacerations to left foot,N,10:00
4613.0,2004.03.22,2004.0,Unprovoked,NEW ZEALAND,North Island,Spearfishing,M,No injury,N,12:30
